8:44,75,0
8:39,64,0
8:34,68,0
8:28,79,0
8:23,73,1
8:17,73,1
8:11,75,1
8:04,71,1
7:58,80,1
7:52,80,1
7:46,67,0
7:40,73,0
7:32,68,0
7:10,84,1
7:05,80,0
6:59,78,0
6:54,72,0
6:48,70,0
6:43,72,0
6:37,67,0
6:32,60,0
6:26,67,0
6:21,78,0
6:15,78,0
6:10,78,0
6:05,73,0
6:00,70,0
5:54,71,0
5:48,79,1
5:43,68,1
5:37,74,1
5:32,69,2
5:26,75,2
5:20,69,2
5:15,91,2
5:06,79,2
5:00,73,2
4:55,78,2
4:49,74,2
4:44,73,1
4:38,76,1
4:33,70,1
4:28,76,1
4:22,66,1
4:17,70,0
4:11,73,0
4:06,71,1
4:01,70,1
3:55,109,1
3:36,73,1
2:38,79,2
2:33,75,2
2:27,76,2
2:22,75,2
2:17,74,2
2:12,72,2
2:07,71,2
2:01,74,1
1:56,108,1
1:50,82,2
1:44,79,2
1:39,67,2
1:34,82,2
1:28,77,2
1:23,72,2
1:18,97,2
1:12,75,2
1:06,75,2
1:01,76,2
0:56,71,2
0:51,75,2
0:45,78,2
0:39,72,2
0:32,78,2
0:27,68,1
0:19,63,0
0:12,74,0
0:05,99,0
23:59,109,0
